Event,Info
Source:  Strongman Corporation ,
 Deadlift,360 kg / Car deadlift 
 Super Yoke,"24 meters / 450 kg (12 m), 550 kg (12 m) "
 Farmer's Walk,185 kg / 20 meters 
 Stone Over Bar,220 kg 
 Axle Press,180 kg
