Event,Info
Farmer's Walk,170 kg 
 Log Lift,175 kg / 60 second time limit 
 Bag Over Bar,"4 implements / 15 to 30 kg, 4.80 metres "
 Deadlift,370 kg 
 Atlas Stones,6 implements / 130 to 180 kg (top 6 only)
