Event,Info
Super Yoke,475 kg 
 Viking Press,154 kg 
 Atlas Stones,5 implements / 110 to 180 kg 
 Deadlift,"Car deadlift, side handles "
 Keg Toss,8 implements / 18 to 25 kg 
 Farmer's Walk,"50 meters / 150 kg / hand (25 m), 165 kg / hand (25 m) "
 Medley,Duck walk + 3x Fingal's fingers
