Event,Info
Fingal's Fingers,5 implements / 60 second time limit / 145 to 172 kg 
 Deadlift,353 kg / 60 second time limit 
 Shield Carry,190 kg / For distance 
 Bus Pull,23000 kg / 25 meters / 60 second time limit 
 Atlas Stones,5 implements / 60 second time limit / 140 to 210 kg
