Event,Info
Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
 Hercules Hold,160 kg 
 Fridge Carry,410 kg / 20 meters / 75 second time limit 
 Log Lift,130 kg / 75 second time limit 
 Squat Lift,"75 second time limit / 7 lifts, 260 to 360 kg "
 Ding Carry,160 kg 
 Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
