Event,Info
Super Yoke,363 kg / 30 meters 
 Arm Over Arm Pull,300 kg 
 Atlas Stones,5 implements / 75 second time limit / 95 to 160 kg 
 Plane Pull,70000 kg 
 Viking Press,121 kg / No resting allowed 
 Medley,"90 second time limit / 120 kg farmer's walk (30 m), 2x 300 kg tire flip, 350 kg chain drag (15 m)"
