#,Competitor,Country,TOT. PTS,Apollon's Wheels,Pts,Max Deadlift,Pts,Hummer Push,Pts,Timber Carry,Pts
1,M. Henry,USA,25,"3 reps, 166 kg",8,401 kg (x2),7,20.59 s,4,10.19 s,6
2,S. Karlsen,NOR,23,"0 reps (1 clean), 166 kg",6,352 kg,3,17.62 s,7,9.50 s,7
3,P. Pfister,USA,21,"3 reps, 147 kg",5,324 kg,2,18.00 s,6,8.70 s,8
4,M. Philippi,USA,20,"1 rep, 166 kg",7,374 kg,5,18.53 s,5,20.84 s,3
5,R. Bergmanis,LAT,16,"1 rep, 147 kg",2,370 kg,4,17.07 s,8,DNF,2
5,A. Bolton,GBR,16,"0 reps, 147 kg",1,401 kg (x3),8,23.47 s,3,19.20 s,4
7,B. Gillingham,USA,13,"3 reps, 147 kg",4,383 kg,6,25.60 s,2,DNF,1
8,B. Schoonveld,USA,10,"3 reps, 147 kg",3,302 kg,1,10.82 m,1,13.50 s,5
