#,Competitor,Country,TOT. PTS,Apollon's Wheels,Pts,Max Deadlift,Pts,Medicine Ball Toss,Pts,Timber Carry,Pts
1,Ž. Savickas,LTU,28.5,0-4-4,8,401 kg,7,4.72 m,5.5,7.96 s,8
2,S. Karlsen,NOR,26.5,2-1-2,6,396 kg,5.5,4.88 m,8,12.75 s,7
3,R. Bergmanis,LAT,17.5,4-0-3,7,391 kg,3.5,4.27 m,2,3.56 m,5
4,M. Pudzianowski,POL,15.5,0-1-0,2.5,391 kg,3.5,4.72 m,5.5,1.8 m,4
5,S. Kirit,USA,14.5,0-2-0,4,346 kg,2,4.72 m,5.5,1.63 m,3
6,P. Pfister,USA,14,0-4-2,5,336 kg,1,4.27 m,2,7.19 m,6
6,Z. Sedmík,CZE,14,0-0-0,1,396 kg,5.5,4.72 m,5.5,0.41 m,2
8,B. Gillingham,USA,13.5,0-1-0,2.5,443 kg,8,4.27 m,2,-,1
