Event,Info
Super Yoke,500 kg / 20 meters 
 Power Stairs,"190 to 240 kg, 5 stairs each "
 Viking Press,160 kg 
 Max Deadlift,14-inch frame deadlift 
 Atlas Stones,5 implements / 170 to 225 kg
