Event,Info
Source:  Strongman Corporation ,
 Log Lift,180 kg / 60 second time limit 
 Frame Carry,400 kg / 25 meters 
 Super Yoke,455 kg / 25 meters 
 Deadlift,365 kg / 60 second time limit
