Event,Info
Source:  Strongman Corporation ,
 Log Lift,180 kg / 60 second time limit 
 Super Yoke,455 kg / 25 meters 
 Frame Carry,400 kg / 25 meters 
 Deadlift,365 kg / 60 second time limit
