Event,Info
Truck Pull,10000 kg / 20 meters 
 Farmer's Walk,132 kg / 60 meters 
 Deadlift,300 kg / 60 second time limit 
 Loading Race,75 second time limit / 4x 100 kg boxes 
 Crucifix Hold,25 kg 
 Wheelbarrow Carry,1100 kg / 20 meters
