Event,Info
Tire Flip,400 kg / 8 flips 
 Block Carry,180 kg 
 Viking Press,125 kg 
 Medley,"3x 120 kg sacks, 200 kg duck walk "
 Power Stairs,"185-225-250 kg, 5 stairs each"
