Event,Info
Deadlift Ladder,"75 second time limit / 5 lifts, 300 to 400 kg "
 Carry & Drag,40 meters / 60 second time limit / 120 kg anchor carry + chain drag (20 metres each) 
 Power Stairs,60 second time limit / 200-210-225-250 kg (3 stairs each) 
 Atlas Stones,5 implements / 60 second time limit / 100 to 180 kg
