Event,Info
Super Yoke,410 kg / 20 meters 
 Deadlift,320 kg / Car deadlift 
 Fingal's Fingers,5 implements / 300 kg 
 Atlas Stones,5 implements / 140 to 200 kg 
 Medley,4x 100 kg objects loaded into a wheelbarrow
