Event,Info
Super Yoke,410 kg / 25 meters 
 Arm Over Arm Pull,450 kg / 20 meters 
 Viking Press,140 kg / 60 second time limit 
 Deadlift,330 kg / 60 second time limit 
 Dumbbell Press,95 kg / 75 second time limit 
 Atlas Stones,5 implements / 120 to 200 kg
