Event,Info
Deadlift,350 kg / 60 second time limit 
 Dumbbell Press,100 kg / 60 second time limit 
 Car Walk,450 kg / 20 meters 
 Hercules Hold,200 kg / hand 
 Atlas Stones,5 implements / 120 to 200 kg
