Event,Info
Farmer's Walk,150 kg / 45 meters / 60 second time limit 
 Log Lift,140 kg / 60 second time limit 
 Stone to Shoulder,140 kg / 60 second time limit 
 Loading Race,"5 implements / 3x 127 kg kegs, 1x 100 kg log, 1x 115 kg log"
