Event,Info
Farmer's Walk,160 kg / 50 meters 
 Deadlift,350 kg / 60 second time limit 
 Keg Toss,8 implements / 17 to 24 kg 
 Africa Stone,180 kg 
 Atlas Stones,5 implements / 130 to 180 kg
