Event,Info
Nicol Stones,114 + 139 kg 
 Log Lift,150 kg / 75 second time limit 
 Deadlift,360 kg / 60 second time limit / Axle bar 
 Car Walk,450 kg / 20 meters 
 Atlas Stones,5 implements / 60 second time limit / 100 to 180 kg
