Event,Info
Dumbbell Press,100 kg / 60 second time limit 
 Nicol Stones,114 + 139 kg 
 Deadlift,350 kg / 60 second time limit / Axle bar 
 Carry & Drag,40 meters / 60 second time limit / 125 kg anchor carry + 350 kg chain drag 
 Power Stairs,60 second time limit / 200-210-225-240-250 kg (3 stairs each)
