Event,Info
Farmer's Walk,165 kg / 30 meters / 75 second time limit 
 Overhead Medley,"4 implements / 140 kg axle, 155 kg log, 95 kg dumbbell, 127 kg keg "
 Medley,"30 meters / 75 second time limit / 450 kg yoke (15 m), 127 kg keg (15 m) "
 Deadlift,350 kg / 60 second time limit / Partial deadlift 
 Stone to Shoulder,140 kg / 60 second time limit 
 Loading Race,"4 implements / 2x 127 kg kegs, 1x 120 kg keg, 1x 120 kg barrel"
