Event,Info
Farmer's Walk,150 kg / 40 meters 
 Overhead Medley,"4 implements / 115 kg block, 140 kg barbell, 162 kg axle, 172 kg log "
 Deadlift,380 kg / 60 second time limit / Car deadlift 
 Loading Race,20 meters / 1x 100 kg bin + 2 sacks loaded into a wheelbarrow 
 Keg Toss,"7 implements / 18 to 25 kg, 5.00 metres "
 Atlas Stones,5 implements / 160 to 200 kg
