Event,Info
Dumbbell Medley,5 implements / 75 second time limit / 80 to 120 kg 
 Farmer's Walk,150 kg / 60 second time limit / For distance 
 Deadlift,360 kg / 60 second time limit / Axle bar 
 Atlas Stones,5 implements / 60 second time limit / 120 to 200 kg
