year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;HÃºsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Crucifix Hold;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Leg Press;Flag Hoist;McGlashen Stones;Car Flip;Tug of War;Plane Pull;Vertical Lift;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Log Ladder;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Kettlebell Throw;Chain Railway Carriage;Axle Death-Lift
2020;Arnold Strongman Classic;B. Gillingham;2.5;8.0;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;10.0;9.0;;10.0;10.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;S. Karlsen;9.0;6.5;;7.0;7.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;R. Bergmanis;6.0;6.5;;6.0;6.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Philippi;5.0;10.0;;8.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Pudzianowski;8.0;4.5;;2.0;8.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Virastyuk;4.0;3.0;;3.0;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Schoonveld;7.0;2.0;;5.0;2.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;A. Johansson;3.0;4.5;;9.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;S. Kirit;1.5;1.0;;4.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;I. Ã�rvai;1.5;8.0;;1.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;10.0;6.5;;6.0;9.5;8.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Virastyuk;9.0;4.0;;4.0;8.0;9.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;G. Ross;6.0;10.0;;5.0;2.5;7.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Philippi;3.0;9.0;;10.0;5.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Siders;8.0;8.0;;3.0;2.5;4.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;S. Karlsen;7.0;6.5;;9.0;6.5;1.5;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Hatfield;5.0;2.5;;7.5;2.5;10.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;K. Gillingham;1.5;5.0;;7.5;6.5;3.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;H. Girard;4.0;2.5;;0.0;2.5;5.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Samuelsson;1.5;1.0;;0.0;9.5;1.5;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;10.0;8.0;;7.0;;;9.0;9.5;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Virastyuk;8.5;6.0;;5.0;;;7.0;9.5;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Koklyaev;8.5;7.0;;8.0;;;9.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;P. Pfister;6.0;4.0;;6.0;;;9.0;7.5;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. MagnÃºsson;3.0;9.0;;10.0;;;5.5;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Pudzianowski;5.0;3.0;;9.0;;;2.5;7.5;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Siders;7.0;10.0;;1.0;;;5.5;3.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;R. Bergmanis;4.0;2.0;;4.0;;;2.5;4.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;D. Filiou;1.0;1.0;;3.0;;;2.5;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;G. Ross;2.0;5.0;;2.0;;;2.5;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;10.0;10.0;;5.0;;;8.0;;10.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Virastyuk;8.0;5.0;;9.0;;;10.0;;9.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;A. Murumets;7.0;6.0;;10.0;;;5.5;;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;P. Pfister;6.0;4.0;;7.0;;;8.0;;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Koklyaev;5.0;7.0;;2.0;;;8.0;;5.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;O. Pekanov;3.5;9.0;;3.0;;;5.5;;4.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Siders;9.0;8.0;;1.0;;;2.0;;7.0;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;S. MacDonald;3.5;2.5;;4.0;;;1.0;;2.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;K. Gillingham;1.0;0.0;;6.0;;;4.0;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;T. Ortmayer;2.0;2.5;;8.0;;;3.0;;0.0;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;9.0;8.0;;5.0;;;9.5;;9.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;D. Poundstone;3.5;5.0;;8.0;;;9.5;;8.0;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Koklyaev;8.0;7.0;;4.0;;;6.5;;4.0;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;A. Murumets;7.0;4.0;;10.0;;;6.5;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. MagnÃºsson;6.0;9.5;;9.0;;;1.5;;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Siders;10.0;6.0;;1.0;;;4.0;;10.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;P. Pfister;5.0;2.5;;6.0;;;6.5;;7.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;O. Pekanov;2.0;9.5;;3.0;;;1.5;;3.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Hatfield;3.5;2.5;;7.0;;;3.0;;2.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Virastyuk;0.0;0.0;;2.0;;;6.5;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;D. Poundstone;8.0;7.0;;5.0;;;10.0;;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Koklyaev;9.0;10.0;;6.0;;;7.0;;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;T. Ortmayer;4.0;4.0;;9.0;;;8.5;;4.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;V. Blekaitis;5.0;9.0;;4.0;;;5.0;;10.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;P. Pfister;6.0;1.0;;7.0;;;8.5;;5.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;B. Siders;10.0;8.0;;2.0;;;3.0;;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;A. Murumets;7.0;2.0;;8.0;;;6.0;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;E. Katona;3.0;5.0;;10.0;;;2.0;;3.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;O. Pekanov;1.0;6.0;;1.0;;;4.0;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;D. Ostlund;2.0;3.0;;3.0;;;0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;D. Poundstone;8.0;8.0;;10.0;;;10.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Å½. Savickas;10.0;10.0;;9.0;;;8.5;;;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;T. Ortmayer;7.0;7.0;;7.0;;;8.5;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold Strongman Classic;M. Koklyaev;9.0;6.0;;8.0;;;7.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
