Event,Info
Arm Over Arm Pull,600 kg sled 
 Dumbbell Press,120 kg 
 Super Yoke,480 kg / 20 meters 
 Atlas Stones,6 implements / 130 to 180 kg 
 Deadlift,400 kg / Partial deadlift
