Event,Info
Deadlift,"Car deadlift, side handles "
 Dumbbell Press,102 kg / 75 second time limit 
 Keg Toss,"8 implements / 18 to 25 kg, 4.88 metres "
 Squat Lift,320 kg 
 Atlas Stones,5 implements / 104 to 181 kg
