Event,Info
Source:  Strongman Corporation ,
 Log Lift,173 kg / 60 second time limit 
 Farmer's Walk,182 kg / 18 meters / 60 second time limit 
 Bag Over Bar,"5 implements / 60 second time limit / 22.5 to 36 kg, 4.57 metres "
 Deadlift,351 kg / 60 second time limit 
 Loading Race,3 implements / 9 meters / 60 second time limit / 136 to 182 kg
