Event,Info
Farmer's Walk,150 kg / 40 meters 
 Axle Press,163 kg / 75 second time limit 
 Keg Toss,"7 implements / 18 to 25 kg, 5.00 metres "
 Deadlift,350 kg / 60 second time limit / Car deadlift 
 Loading Race,60 second time limit / 4x 120 kg sacks 
 Atlas Stones,5 implements / 110 to 190 kg
