Event,Info
Contest Notes:   Derek DeVaughan and John Posen were respectively credited with 46.5 and 43 points by Giants Live due to a scoring mistake in the Stone Over Bar event. John Posen's placing was adjusted to reflect the official standings. Super Yoke,430 kg / 25 meters / 60 second time limit 
 Truck Pull,19000 kg 
 Wheelbarrow Carry,350 kg / 25 meters 
 Cross Carry,For distance 
 Deadlift,"6 lifts, 300 to 400 kg "
 Log Lift,"6 lifts, 120 to 170 kg "
 Stone Over Bar,160 kg / 60 second time limit
