Event,Info
Medley,"60 meters / 150 kg farmer's walk (40 m), 130 kg keg (20 m) "
 Shield Carry,200 kg 
 Deadlift,"365 kg / 60 second time limit / Car deadlift, side handles "
 Log Lift,150 kg / 60 second time limit 
 Atlas Stones,5 implements / 120 to 180 kg
