Event,Info
Medley,30 meters / 390 kg yoke + 175 kg farmer's walk (15 m each) 
 Deadlift,320 kg / Car deadlift 
 Tire Flip,3x 320 kg + 3x 400 kg 
 Atlas Stones,5 implements / 130 to 175 kg 
 Viking Press,145 kg 
 Power Stairs,"225-250-280 kg, 5 stairs each"
