Event,Info
Log Lift,140 kg / 60 second time limit 
 Tire Flip,440 kg / 8 flips 
 Deadlift,343 kg / 60 second time limit 
 Front Hold,25 kg 
 Loading Race,5 implements / 90 to 120 kg
