Event,Info
Frame Carry,365 kg / 30 meters / 60 second time limit 
 Shield Carry,180 kg 
 Deadlift,320 kg / 60 second time limit 
 Log Lift,140 kg / 60 second time limit 
 Atlas Stones,5 implements / 60 second time limit / 128 to 215 kg
