#,Competitor,Country,TOT. PTS,Loading Race,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,B. Shaw,USA,10,59.22 s,2,11 kegs,4,6 in 42.62 s,4
2,M. Wildauer,AUT,10,50.21 s,4,9 kegs,3,6 in 61.78 s,3
3,K. Radzikowski,POL,6,56.57 s,3,7 kegs,2,4 in 42.70 s,1
4,D. Savatinov,BUL,4,59.26 s,1,4 kegs,1,5 in 55.99 s,2
