#,Competitor,Country,TOT. PTS,Medley,Pts,Keg Toss,Pts,Truck Pull,Pts
1,M. Shivlyakov,RUS,11,2 in 38.00 s,3,8 in 39.00 s,4,23.16 s,4
2,R. Heinla,EST,10,3 in 45.00 s,4,7 kegs,3,31.24 s,3
3,C. Quiroga,BOL,5,1 in 21.00 s,1,4 kegs,2,33.18 s,2
4,T. Aparecido,BRA,4,1 in 17.00 s,2,2 kegs,1,45.71 s,1
