#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Keg Toss,Pts,Deadlift,Pts
1,B. Shaw,USA,13,175 kg,3,8 in 19.96 s,5,5 reps,5
2,K. Radzikowski,POL,11,205 kg,4,8 in 23.66 s,4,4 reps,3
3,Ž. Savickas,LTU,10,228 kg,5,8 in 27.00 s,2,4 reps,3
4,E. Katona,SRB,7.5,160 kg,1.5,8 in 24.60 s,3,4 reps,3
5,M. Ferrari,BRA,3.5,160 kg,1.5,4 kegs,1,3 reps,1
