year;competition_name;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;140 kg;;;;;30.32 s;5 in 21.44 s;;;;;;8 reps;;6 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.8 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;140 kg;;;;;26.15 s;4 in 41.20 s;;;;;;7 reps;;6 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;170 kg;;;;;44.3 m;5 in 22.41 s;;;;;;0 reps;;2 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.8 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;170 kg;;;;;35.1 m;5 in 26.00 s;;;;;;2 reps;;5 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;140 kg;;;;;40.3 m;5 in 25.15 s;;;;;;2 reps;;4 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.1 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;160 kg;;;;;43.6 m;5 in 34.96 s;;;;;;1 rep;;5 kegs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;140 kg;;;;;8.5 m;(Eliminated);;;;;;0 reps;;1 keg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live South Africa;;;;;;;;;;;;;;;;;;;;No lift;;;;;33.3 m;(Eliminated);;;;;;0 reps;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;4 in 14.25 s;;;;;6 reps;20 reps;;;;;;33.13 s;;;;;;;;;;;;;;;;215 kg;40.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 14.20 s;;;;;3 reps;20 reps;;;;;;35.34 s;;;;;;;;;;;;;;;;195 kg;45.54 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 18.35 s;;;;;2 reps;8 reps;;;;;;32.85 s;;;;;;;;;;;;;;;;195 kg;28 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;3 in 14.50 s;;;;;0 reps;16 reps;;;;;;28.14 s;;;;;;;;;;;;;;;;205 kg;21.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 30.19 s;;;;;6 reps;4 reps;;;;;;59.20 s;;;;;;;;;;;;;;;;195 kg;40.45 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 31.19 s;;;;;2 reps;19 reps;;;;;;36.33 s;;;;;;;;;;;;;;;;(No lift);20.96 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;5 reps;12 reps;;;;;;54.20 s;;;;;;;;;;;;;;;;195 kg;9.3 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;0 reps;15 reps;;;;;;35.10 s;;;;;;;;;;;;;;;;185 kg;20 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
