Event,Info
Viking Press,150 kg / 90 second time limit 
 Keg Toss,"6 implements / 15 to 20 kg, 5 metres "
 Medley,90 second time limit / 160-180-200 kg power stairs (5 steps each) + 140 kg Atlas stone 
 Bus Pull,13000 kg / 15 meters
