Event,Info
Medley,"3 implements / 300 kg chain drag (10 m), 320 kg deadlift (4 reps), 200 kg power stairs (5 stairs) "
 Keg Toss,"8 implements / 90 second time limit / 20 to 26 kg, 5.00 metres "
 Truck Pull,8000 kg / 15 meters
