Event,Info
Max Deadlift,Elephant bar 
 Cyr Dumbbell Ladder,5 implements / 150 second time limit / 115 to 136 kg 
 Wheel of Pain,9072 kg / 60 second time limit 
 Medley,150 second time limit / 454 kg yoke (15 m) + 3x 163 kg log lift 
 Inver Stones,5 implements / 120 second time limit / 125 to 191 kg
