Event,Info
Rock Press,4 implements / 75 second time limit / 100 to 122 kg 
 Bag Over Bar,"6 implements / 60 second time limit / 18 to 28 kg, 4.43 metres "
 Stone to Shoulder,4 implements / 75 second time limit / 95 to 145 kg 
 Front Hold,21 kg 
 Húsafell Stone,186 kg / For distance 
 Farmer's Walk,140 kg / For distance 
 Vertical Lift,8 meters / 60 second time limit 
 Deadlift,330 kg / 60 second time limit 
 Log Ladder,4 implements / 60 second time limit / 120 to 165 kg
