Event,Info
Deadlift,325 kg / 75 second time limit / Axle bar 
 Log Medley,4 implements / 90 second time limit / 120 to 165 kg 
 Stone to Shoulder,4 implements / 90 second time limit / 100 to 145 kg 
 Húsafell Stone,186 kg / For distance 
 Medley,36 meters / 75 second time limit / 360 kg yoke + 140 kg farmer's walk (18 metres each)
