#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Truck Pull,Pts,Super Yoke,Pts,Medley,Pts,Deadlift,Pts,Atlas Stones,Pts,Power Stairs,Pts
1,J. Dymek,POL,41.5,24.74 s,6,25.37 s,7,22.87 s,7,46.78 s,7,16 reps,7.5,5 in 24.11 s,7,(Did not attempt),0
2,J. Virtanen,FIN,38,14.94 s,8,23.45 s,8,16.7 m,4,65.81 s,5,7 reps,3,5 in 48.98 s,4,14 stairs,6
3,M. Starov,UKR,36.5,29.64 s,5,31.09 s,3,21.13 s,8,74.11 s,4,12 reps,4.5,5 in 38.08 s,5,38.99 s,7
4,S. Toczek,POL,35.5,60.09 s,2,29.93 s,4,25.78 s,6,43.94 s,8,12 reps,4.5,4 in 30.56 s,3,36.98 s,8
5,R. Vidzis,LAT,33,42.14 s,3,33.81 s,2,11.5 m,3,58.28 s,6,13 reps,6,5 in 20.31 s,8,14 stairs,5
6,O. Pekanov,UKR,31,3.75 m,1,26.37 s,6,44.16 s,5,2 flips,1.5,16 reps,7.5,5 in 33.66 s,6,12 stairs,4
7,O. Haugen,NOR,21.5,23.07 s,7,27.96 s,5,9.3 m,2,2 flips,1.5,6 reps,2,4 in 32.45 s,2,10 stairs,2
8,R. Ber,AUT,14,41.23 s,4,37.15 s,1,4.3 m,1,89.64 s,3,2 reps,1,2 in 20.56 s,1,11 stairs,3
