#,Competitor,Country,TOT. PTS
1,M. Höberl,AUT,39
2,G. Taylor,GBR,38
3,J. Reeves,GBR,33
3,M. Ver Magnússon,ISL,33
5,F. Cowan,GBR,23
6,B. Veneberg,NED,20
7,R. Kiri,FIN,17
8,S. Davidsen,NOR,10
