#,Competitor,Country,TOT. PTS
1,M. H̦berl,AUT,40
2,M. Ver Magn̼sson,ISL,33
3,G. Taylor,GBR,32.5
4,H. Ollesch,GER,32
5,J. Reeves,GBR,26
6,F. Cowan,GBR,22.5
7,T. van der Parre,NED,19.5
8,L. Fekete,HUN,9.5
