#,Competitor,Country,TOT. PTS
1,G. Capes,GBR,68
2,S. Wulfse,NED,63.5
3,R. Ekström,FIN,53.5
4,H. Davidson,GBR,50
5,G. du Prie,NED,48
6,F. Bierbaum,AUT,47.5
7,G. Bultynck,BEL,47
8,S. Thorsen,DEN,38.5
