#,Competitor,Country,TOT. PTS
1,M. Pudzianowski,POL,44
2,G. SzymaÅ„ski,POL,35
3,S. Toczek,POL,35
4,S. Todorchev,BUL,27
5,M. Felix,GBR,24
6,K. Radzikowski,POL,20
7,R. Vidzis,LAT,15
8,T. Nowotniak,POL,15
