#,Competitor,Country,TOT. PTS
1,M. Pudzianowski,POL,45.5
2,K. Radzikowski,POL,31
3,M. Baron,POL,29.5
4,G. SzymaÅ„ski,POL,28
5,R. Kobylarz,POL,26.5
6,T. Kowal,POL,22
7,M. Felix,GBR,20.5
8,R. Vidzis,LAT,14
