#,Competitor,Country,TOT. PTS
1,R. Kiri,FIN,77
2,J. Ahola,FIN,70.5
3,M. Ver Magn̼sson,ISL,62.5
4,H. Ollesch,GER,62
5,J. Reeves,GBR,55.5
6,G. Taylor,GBR,51
7,M. Muhr,GER,46
8,B. Veneberg,NED,44.5
9,F. Rasmussen,DEN,43
10,T. van der Parre,NED,38
11,F. Cowan,GBR,35
12,L. Fekete,HUN,34.5
