#,Competitor,Country,TOT. PTS
1,R. Kiri,FIN,59
2,H. Ollesch,GER,57
3,M. Ver Magnússon,ISL,53
4,J. Ahola,FIN,52
5,H. Osala,FIN,43
6,J. Laine,FIN,38
7,B. Veneberg,NED,36
8,J. Reeves,GBR,34
9,M. Samuelsson,SWE,29
10,F. Rasmussen,DEN,28
11,B. Pittuck,GBR,16
12,F. Cowan,GBR,14
