#,Competitor,Country,TOT. PTS
1,G. Capes,GBR,47
2,R. Slaney,GBR,42
3,V. Hörtnagl,AUT,37
4,G. du Prie,NED,36
5,G. Bultynck,BEL,34
6,L. Dahlgren,SWE,25
7,R. Nuy,NED,23
8,O. Wanz,AUT,22
