#,Competitor,Country,TOT. PTS
1,F. Cowan,GBR,37
1,G. Taylor,GBR,37
3,J. Reeves,GBR,32
4,T. van der Parre,NED,31
5,H. Árnason,ISL,29
5,H. Thorsen,DEN,29
7,I. Kinnunen,FIN,11
8,I. Nummisto,FIN,9
