#,Competitor,Country,TOT. PTS
1,M. Pudzianowski,POL,41
2,S. Wenta,POL,36
3,S. Todorchev,BUL,33
4,R. Vidzis,LAT,29
5,J. Dymek,POL,23
6,S. Toczek,POL,22
7,E. Nigmatullin,RUS,19
8,T. Mitt,EST,13
