Event,Info
Truck Pull,23000 kg / 30 meters 
 Log Lift,180 kg / 75 second time limit 
 Medley,"30 meters / 300 kg yoke (15 m), 180 kg shield (15 m) "
 Atlas Stones,10 implements / 180 second time limit / 100 to 200 kg
