#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Dumbbell Press,Pts,Super Yoke,Pts,Atlas Stones,Pts,Deadlift,Pts
1,O. Novikov,UKR,36,14.26 s,6,6 reps,8,23.04 s,8,6 in 25.94 s,8,10 reps,6
2,M. Kieliszkowski,POL,35,14.43 s,5,7 reps,9,17.38 s,9,6 in 19.66 s,9,1 rep,3
3,R. Heinla,EST,34.5,12.67 s,9,3 reps,5.5,49.98 s,4,6 stones,7,14 reps,9
4,M. Belšak,SLO,26.5,13.88 s,7,5 reps,7,29.01 s,6,5 in 35.02 s,2,6 reps,4.5
5,J. Pritchett,USA,22.5,17.78 s,2,0 reps,0,23.66 s,7,6 in 36.28 s,6,11 reps,7.5
6,M. Shivlyakov,RUS,21.5,17.23 s,3,1 rep,3,31.51 s,5,6 in 57.96 s,3,11 reps,7.5
7,J. Paquet,CAN,18,21.53 s,1,3 reps,5.5,15.9 m,2,6 stones,5,6 reps,4.5
8,E. Williams,AUS,15,12.68 s,8,0 reps,0,17.4 m,3,6 stones,4,0 reps,0
9,T. Aparecido,BRA,9,16.78 s,4,2 reps,4,2 m,1,Withdrew,0,Withdrew,0
