#,Competitor,Country,TOT. PTS
1,H. Björnsson,ISL,0
2,Ž. Savickas,LTU,0
3,K. Radzikowski,POL,0
4,D. Savatinov,BUL,0
5,M. Wildauer,AUT,0
6,M. Ferrari,BRA,0
