#,Competitor,Country,TOT. PTS,Deadlift,Pts,Super Yoke,Pts,Dumbbell Press,Pts
1,B. Shaw,USA,15,6 reps,6,10.90 s,6,6 reps,3
2,H. Bj̦rnsson,ISL,15,5 reps,5,11.41 s,4,10 reps,6
3,K. Radzikowski,POL,13,4 reps,3,11.28 s,5,8 reps,5
4,M. Burke,USA,8,2 reps,1,18.00 s,3,7 reps,4
5,M. Felix,GBR,6,4 reps,3,DNF,1,1 rep,2
6,J. Pritchett,USA,5,4 reps,3,24.00 s,2,0 reps,0
