#,Competitor,Country,TOT. PTS,Deadlift,Pts,Keg Toss,Pts,Truck Pull,Pts
1,J. Caron,CAN,12,6 reps,4,10 in 80.00 s,4,47.00 s,4
2,R. Heinla,EST,7.5,4 reps,2.5,5 in 52.00 s,2,68.00 s,3
3,R. Kearney,USA,7.5,4 reps,2.5,5 in 29.00 s,3,DNF,2
4,D. Skosyrskii,RUS,3,3 reps,1,5 in 69.00 s,1,DNF,1
