Event,Info
Sandbag Toss,"8 implements / 22 to 29 kg, 4.5 metres "
 Dumbbell Press,110 kg / 75 second time limit 
 Super Yoke,506 kg / 20 meters 
 Max Deadlift,Hummer tires 
 Atlas Stones,5 implements / 159 to 204 kg 
 Log Lift,"172, 186 or 200 kg "
 Medley,363 kg frame carry + 318 kg vertical lift 
 Leg Press,907 kg / Vehicle press
