Event,Info
Super Yoke,507 kg / 24 meters 
 Sandbag Toss,8 implements / 23 to 29 kg 
 Squat Lift,371 kg / Car squat 
 Max Deadlift,Hummer tires 
 Medley,2 sacks + wheelbarrow carry + vertical lift (2.90 m) 
 Dumbbell Press,110 kg / 75 second time limit 
 Atlas Stones,5 implements / 60 second time limit / 159 to 204 kg
