Event,Info
Super Yoke,400 kg / 40 meters 
 Deadlift,"380 kg / Car deadlift, side handles "
 Farmer's Walk,125 kg / 80 meters 
 Keg Toss,"8 implements / 18 to 25 kg, 4.88 metres "
 Atlas Stones,5 implements / 100 to 180 kg
