Event,Info
Farmer's Walk,150 kg / 60 second time limit / For distance with 10-metre intervals 
 Squat Lift,318 kg 
 Loading Race,"5 implements / 8 meters / 90 second time limit / 115 kg engine block, 140 kg rear differential, 100 kg tyre rim, 115 kg wheel hub, 100 kg tyre rim "
 Overhead Medley,5 implements / 75 second time limit / Four dumbbell pairs: 50-57-61-66 kg / Monster dumbbell: 100 kg 
 Atlas Stones,8 implements / 90 second time limit / 140 to 200 kg
