Event,Info
Loading Medley,90 second time limit / Loading: 2 barrels (100 kg each) + anvil (125 kg) / Frame Carry: 380 kg (12 m) 
 Squat Lift,318 kg 
 Fingal's Fingers,5 implements / 75 second time limit / 145 to 172 kg 
 Overhead Medley,"4 implements / 75 second time limit / 95 kg dumbbell, 100 kg dumbbell, 155 kg barbell, 163 kg axle "
 Pickaxe Hold,27 kg 
 Stone Off,6 implements / 140 to 210 kg
